tree_id,center_x,center_y,angle
0,0.0000,0.0000,0.0000
1,0.2158,-0.2084,179.0000
2,-0.2877,-0.2779,143.0000
3,0.4316,0.4168,216.0000
4,-0.4316,0.4168,8.0000
5,0.7913,0.7641,0.0000
6,0.1563,0.8863,0.0000
7,-0.6983,-0.0488,117.0000
8,0.5033,-0.7461,218.0000
9,-0.9193,0.7713,15.0000
10,0.9397,-0.3420,245.0000
11,-0.8699,-0.9661,62.0000
12,1.0973,0.0767,283.0000
13,1.2229,1.1809,216.0000
14,-0.0349,-0.9994,104.0000
15,-0.3145,1.2614,3.0000
16,-1.1883,0.1670,22.0000
17,1.1375,-1.2633,219.0000
18,-1.3667,1.3199,44.0000
19,1.0625,1.5752,0.0000
20,-1.2948,-1.2504,86.0000
21,-0.9000,1.5588,357.0000
22,1.6853,1.4141,0.0000
23,-1.6341,-0.4686,84.0000
24,0.4113,1.6495,314.0000
25,0.2257,-1.2803,199.0000
26,1.6180,-1.1756,247.0000
27,-1.6835,0.2366,48.0000
28,-0.7014,-1.4381,115.0000
29,-1.4776,1.8912,0.0000
30,1.7303,-0.4961,251.0000
31,-1.7659,0.9389,72.0000
32,1.8585,0.3950,278.0000
33,0.0698,1.9988,0.0000
34,-0.2952,-1.6742,198.0000
35,-2.0142,1.9450,108.0000
36,-1.6545,-1.5977,126.0000
37,2.0142,1.9450,246.0000
38,0.6489,-1.9972,194.0000
39,1.5098,2.2384,0.0000
40,2.2553,0.8208,0.0000
41,1.6007,-2.0488,124.0000
42,-2.1201,-1.3248,79.0000
43,-2.2000,0.0000,40.0000
44,0.5806,2.3287,0.0000
45,1.9422,-1.8756,223.0000
46,2.3738,2.2924,0.0000
47,-2.3738,2.2924,0.0000
48,-0.5564,2.2317,320.0000
49,-0.6489,-1.9972,153.0000
50,-1.0114,2.5034,0.0000
51,-2.3019,-2.2229,90.0000
52,2.2776,-0.3201,286.0000
53,2.4271,-1.7634,249.0000
54,-2.4032,-0.6891,95.0000
55,2.4666,-1.0982,66.0000
56,-1.2000,-2.0785,120.0000
57,-1.7894,2.6529,8.0000
58,0.0872,-2.4985,155.0000
59,2.7388,0.5822,221.0000
60,-0.5036,2.8559,0.0000
61,2.8054,2.7092,216.0000
62,-2.8054,2.7092,8.0000
63,-2.5954,0.7442,46.0000
64,-2.6934,-0.1883,45.0000
65,2.3420,-2.6010,205.0000
66,2.8191,1.0261,259.0000
67,2.8320,-1.2609,202.0000
68,-2.8834,1.8017,16.0000
69,-2.7138,-1.6957,31.0000
70,2.8054,-2.7092,237.0000
71,0.9271,2.8532,296.0000
72,-1.7894,-2.6529,121.0000
73,2.7877,-0.7993,304.0000
74,0.1047,2.9982,294.0000
75,2.7434,3.0469,45.0000
76,1.3151,-2.6964,141.0000
77,-1.1238,-2.7816,167.0000
78,-2.7335,-2.6397,114.0000
79,1.8500,3.2043,0.0000
80,1.7000,-2.9445,180.0000
81,3.1651,3.0565,253.0000
82,-3.1689,-0.4454,50.0000
83,-3.1378,-1.9607,60.0000
84,3.1552,-2.2924,252.0000
85,-3.1301,0.6653,65.0000
86,-1.3111,3.2451,11.0000
87,-0.5036,-2.8559,134.0000
88,3.1974,1.4236,275.0000
89,-3.2370,3.1260,38.0000
90,-2.2368,3.3162,19.0000
91,3.0780,3.4185,0.0000
92,1.1125,3.4238,0.0000
93,-3.1974,1.4236,95.0000
94,3.3801,-1.5049,226.0000
95,0.3658,3.4808,0.0000
96,0.3136,-2.9836,176.0000
97,-3.4435,1.8309,48.0000
98,3.4435,1.8309,331.0000
99,3.4605,-0.9923,302.0000
100,-3.2889,-1.1971,49.0000
101,3.4915,-0.2441,250.0000
102,-3.3090,-3.1954,125.0000
103,2.0000,-3.4641,219.0000
104,-3.3979,-2.4687,83.0000
105,3.4528,-3.3344,137.0000
106,3.5248,3.4038,314.0000
107,-0.8951,3.5901,299.0000
108,-2.8320,3.6248,17.0000
109,-3.3979,2.4687,28.0000
110,2.5164,3.7307,0.0000
111,3.3669,0.4732,242.0000
112,-1.5781,-3.2357,77.0000
113,-2.2927,-3.3991,101.0000
114,0.6251,-3.5453,204.0000
115,-3.4795,3.8644,0.0000
116,-1.8412,3.7749,13.0000
117,3.8125,-3.6817,164.0000
118,-3.5912,0.2511,41.0000
119,1.1125,-3.4238,227.0000
120,3.5464,3.9387,0.0000
121,-3.8527,-1.4023,73.0000
122,3.9611,0.5567,0.0000
123,-0.3554,-3.3814,171.0000
124,-3.9068,3.2782,79.0000
125,3.8024,-2.7626,192.0000
126,-3.9611,-0.5567,82.0000
127,1.5733,3.8942,42.0000
128,-3.9564,3.8206,36.0000
129,4.0196,1.7896,208.0000
130,4.0451,2.9389,226.0000
131,-1.7973,-3.6851,177.0000
132,-4.0407,1.4707,103.0000
133,3.8527,-1.4023,256.0000
134,-0.7293,4.1362,0.0000
135,-3.9564,-3.8206,93.0000
136,-4.0000,0.0000,62.0000
137,0.7467,4.2347,0.0000
138,4.2402,-2.6496,0.0000
139,4.1722,4.0290,241.0000
140,-2.9552,-3.7825,120.0000
141,-0.8951,-3.5901,136.0000
142,-1.3288,4.0895,21.0000
143,-3.8833,-2.8214,108.0000
144,-4.2937,1.9117,0.0000
145,-0.1466,4.1974,296.0000
146,4.1722,-4.0290,190.0000
147,-4.2381,-2.2535,97.0000
148,-2.4000,4.1569,26.0000
149,1.7607,4.3578,0.0000
