tree_id,center_x,center_y,angle
0,0.0000,0.0000,0.0000
1,0.2158,-0.2084,179.0000
2,-0.2877,-0.2779,143.0000
3,0.4316,0.4168,216.0000
4,-0.4316,0.4168,8.0000
5,0.7913,0.7641,0.0000
6,0.1563,0.8863,0.0000
7,-0.6983,-0.0488,117.0000
8,0.5033,-0.7461,218.0000
9,-0.9193,0.7713,15.0000
10,0.9397,-0.3420,245.0000
11,-0.8699,-0.9661,62.0000
12,1.0973,0.0767,283.0000
13,1.2229,1.1809,216.0000
14,-0.0349,-0.9994,104.0000
15,-0.3145,1.2614,3.0000
16,-1.1883,0.1670,22.0000
17,1.1375,-1.2633,219.0000
18,-1.3667,1.3199,44.0000
19,1.0625,1.5752,0.0000
