tree_id,center_x,center_y,angle,square_side
0,0.0000,0.0000,0.0000,1.0000
1,0.4568,0.2034,334.0000,1.1575
2,0.3654,-0.1627,244.0000,1.4358
3,1.0760,0.2287,337.0000,1.7481
4,1.1873,-0.7419,348.0000,1.9182
5,-0.0868,-0.4924,235.0000,1.9182
6,-0.4121,-1.0199,23.0000,2.2639
7,-0.4568,0.2034,26.0000,2.3371
8,0.6000,-1.0392,257.0000,2.3454
9,1.5106,-1.4588,337.0000,2.6403
10,0.1359,-1.2929,97.0000,2.6403
11,1.6629,0.3534,335.0000,2.8084
12,1.9734,-0.7182,337.0000,3.1030
13,1.9422,-1.8756,329.0000,3.1641
14,0.8329,-1.7077,90.0000,3.1641
15,1.1000,-1.9053,256.0000,3.3234
16,-0.6180,-1.9021,19.0000,3.3234
17,2.2497,0.4782,12.0000,3.5411
18,2.3738,-2.2924,327.0000,3.7617
19,2.4666,-1.0982,345.0000,3.7617
