id,x,y,deg
001_0,0.000000,0.000000,225.000000
002_0,0.000000,0.000000,337.680008
002_1,-0.310000,0.536936,159.840002
003_0,0.000000,0.000000,249.119990
003_1,0.020940,0.599634,144.359998
003_2,0.447354,0.663230,202.680008
004_0,0.000000,0.000000,232.920005
004_1,-0.120961,0.485148,140.399995
004_2,0.374659,0.555455,189.360008
004_3,-0.444306,-0.372817,246.600001
005_0,0.000000,0.000000,244.079990
005_1,0.406337,0.520087,212.760007
005_2,-0.071079,0.676275,158.040004
005_3,0.173648,0.984808,278.999991
005_4,0.965216,0.809912,181.799998
006_0,0.000000,0.000000,244.079990
006_1,0.460377,0.444581,199.440007
006_2,0.241033,0.741824,102.960005
006_3,-0.520721,0.231840,283.679996
006_4,0.543580,1.114505,212.039995
006_5,-0.631888,0.936812,305.279996
007_0,0.000000,0.000000,244.079990
007_1,0.460377,0.444581,199.440007
007_2,0.241033,0.741824,107.280003
007_3,-0.516831,0.188111,289.079990
007_4,-0.672883,-0.192946,238.679996
007_5,-0.615112,0.911941,156.600001
007_6,0.738794,0.945613,69.840002
008_0,0.000000,0.000000,244.079990
008_1,0.460377,0.444581,199.440007
008_2,0.241033,0.741824,107.280003
008_3,0.829722,0.921500,74.160000
008_4,-0.528709,-0.036971,222.479990
008_5,1.004900,0.447410,206.640000
008_6,-0.204905,1.162073,138.240001
008_7,1.096255,-0.488084,26.640000
009_0,0.000000,0.000000,244.079990
009_1,0.460377,0.444581,199.440007
009_2,0.241033,0.741824,107.280003
009_3,0.829722,0.921500,74.160000
009_4,-0.468855,0.032786,212.039995
009_5,0.995765,0.443343,202.319992
009_6,0.977494,-0.435208,112.679998
009_7,-0.591801,1.213372,182.159994
009_8,-0.711935,-0.517251,244.079990
010_0,0.000000,0.000000,244.079990
010_1,0.460377,0.444581,199.440007
010_2,0.241033,0.741824,107.280003
010_3,0.829722,0.921500,74.160000
010_4,-0.468855,0.032786,212.039995
010_5,0.809017,-0.587785,329.039991
010_6,-0.339919,1.046162,148.320000
010_7,1.161826,0.725989,196.200006
010_8,0.135476,-0.543366,227.520010
010_9,-0.640212,-0.618246,234.360008
