id,x,y,deg
001_0,0.000000,0.000000,45.000000
002_0,0.000000,0.000000,68.399999
002_1,-0.135967,-0.418465,113.760005
003_0,0.000000,0.000000,161.999996
003_1,0.577107,0.122668,68.039998
003_2,0.374659,-0.555455,320.039999
004_0,0.000000,0.000000,112.679998
004_1,-0.567326,0.120589,26.640000
004_2,0.082253,0.329901,331.560001
004_3,-0.176603,0.708316,69.480001
005_0,0.000000,0.000000,0.000000
005_1,0.407063,0.254361,330.000007
005_2,0.712565,-0.317255,339.999990
005_3,-0.345283,-0.333436,249.999990
005_4,-0.413664,0.347105,20.000000
006_0,0.000000,0.000000,0.000000
006_1,-0.441474,0.234736,25.919999
006_2,-0.329654,0.815922,302.399991
006_3,0.697529,0.370883,59.040002
006_4,0.677228,0.866812,350.639992
006_5,-0.653173,1.339203,276.480002
007_0,0.000000,0.000000,0.000000
007_1,-0.441474,0.234736,25.919999
007_2,-0.325908,0.806650,306.000009
007_3,-0.583034,1.195396,76.319999
007_4,-1.050708,0.558671,156.600001
007_5,-0.258736,1.467364,280.799990
007_6,0.348384,0.862281,193.320000
008_0,0.000000,0.000000,0.000000
008_1,-0.441474,0.234736,25.919999
008_2,-0.325908,0.806650,306.000009
008_3,0.671040,0.356798,56.160001
008_4,-0.655359,-0.139301,242.640009
008_5,0.298757,-0.250687,257.760007
008_6,0.530429,1.087541,229.320009
008_7,0.967637,0.067664,200.880010
009_0,0.000000,0.000000,0.000000
009_1,-0.441474,0.234736,25.919999
009_2,-0.325908,0.806650,306.000009
009_3,0.671040,0.356798,56.160001
009_4,-0.665140,-0.141380,240.840011
009_5,0.246265,-0.315204,297.359991
009_6,0.412067,1.019902,277.199993
009_7,1.050708,0.558671,203.759995
009_8,0.773705,-0.649215,337.680008
010_0,0.000000,0.000000,0.000000
010_1,-0.441474,0.234736,25.919999
010_2,-0.325908,0.806650,306.000009
010_3,0.671040,0.356798,56.160001
010_4,-0.665140,-0.141380,240.840011
010_5,0.568278,-0.548780,357.479990
010_6,0.490976,1.006649,246.959996
010_7,1.017274,-0.216228,342.359991
010_8,-0.777278,1.152362,307.800007
010_9,1.015841,1.300218,206.640000
011_0,0.000000,0.000000,0.000000
011_1,-0.441474,0.234736,25.919999
011_2,-0.325908,0.806650,306.000009
011_3,0.671040,0.356798,56.160001
011_4,-0.665140,-0.141380,240.840011
011_5,0.568278,-0.548780,357.479990
011_6,0.499743,1.024625,271.440003
011_7,0.990000,0.000000,342.360013
011_8,-0.777278,1.152362,297.000017
011_9,0.870000,1.506884,235.800011
011_10,1.103684,-0.586839,321.840019
012_0,0.000000,0.000000,0.000000
012_1,-0.441474,0.234736,25.919999
012_2,-0.325908,0.806650,306.000009
012_3,0.671040,0.356798,56.160001
012_4,-0.665140,-0.141380,240.840011
012_5,0.568278,-0.548780,357.479990
012_6,0.499743,1.024625,271.440003
012_7,1.244956,-0.661955,106.919997
012_8,0.962413,0.511724,304.920001
012_9,0.987588,0.069059,220.319996
012_10,-0.777278,1.152362,312.840006
012_11,1.424293,1.375424,67.320002
013_0,0.000000,0.000000,0.000000
013_1,-0.441474,0.234736,25.919999
013_2,-0.325908,0.806650,306.000009
013_3,0.671040,0.356798,56.160001
013_4,-0.665140,-0.141380,240.840011
013_5,0.568278,-0.548780,357.479990
013_6,0.499743,1.024625,271.440003
013_7,1.244956,-0.661955,106.919997
013_8,0.962413,0.511724,301.320004
013_9,1.290000,0.000000,205.199997
013_10,0.225582,-0.694271,102.240003
013_11,1.553313,1.128548,45.000000
013_12,-0.777278,1.152362,307.800007
014_0,0.000000,0.000000,0.000000
014_1,-0.441474,0.234736,25.919999
014_2,-0.325908,0.806650,306.000009
014_3,0.671040,0.356798,56.160001
014_4,-0.665140,-0.141380,240.840011
014_5,0.568278,-0.548780,357.479990
014_6,0.499743,1.024625,271.440003
014_7,1.244956,-0.661955,106.919997
014_8,0.962413,0.511724,301.320004
014_9,0.977613,0.068361,218.160002
014_10,0.225582,-0.694271,99.359998
014_11,1.478466,1.240580,78.479998
014_12,1.485402,0.208760,327.600009
014_13,-0.448075,1.379032,293.759995
015_0,0.000000,0.000000,0.000000
015_1,-0.441474,0.234736,25.919999
015_2,-0.325908,0.806650,306.000009
015_3,0.671040,0.356798,56.160001
015_4,-0.665140,-0.141380,240.840011
015_5,0.568278,-0.548780,357.479990
015_6,0.499743,1.024625,271.440003
015_7,1.244956,-0.661955,106.919997
015_8,0.962413,0.511724,301.320004
015_9,0.977613,0.068361,218.160002
015_10,0.228673,-0.703782,108.360000
015_11,1.351644,1.501153,213.120003
015_12,-0.256999,1.457515,115.919999
015_13,1.555255,0.330580,179.640005
015_14,0.267418,1.516604,283.320000
016_0,0.000000,0.000000,0.000000
016_1,-0.441474,0.234736,25.919999
016_2,-0.325908,0.806650,306.000009
016_3,0.671040,0.356798,56.160001
016_4,-0.665140,-0.141380,240.840011
016_5,0.568278,-0.548780,357.479990
016_6,0.499743,1.024625,271.440003
016_7,1.244956,-0.661955,106.919997
016_8,-0.777278,1.152362,296.280005
016_9,0.946550,0.687709,229.320009
016_10,0.228673,-0.703782,110.159998
016_11,1.126660,1.442060,218.160002
016_12,0.636831,1.576213,102.599999
016_13,1.280000,0.000000,205.920010
016_14,-1.182070,1.512981,302.760007
016_15,-0.946550,-0.687709,275.399995
017_0,0.000000,0.000000,0.000000
017_1,-0.441474,0.234736,25.919999
017_2,-0.325908,0.806650,306.000009
017_3,0.671040,0.356798,56.160001
017_4,-0.665140,-0.141380,240.840011
017_5,0.568278,-0.548780,357.479990
017_6,0.499743,1.024625,271.440003
017_7,1.244956,-0.661955,106.919997
017_8,-0.777278,1.152362,296.280005
017_9,1.118234,0.407004,165.959998
017_10,0.225582,-0.694271,99.720004
017_11,-1.139002,-0.605618,265.679991
017_12,-0.953583,0.507029,137.520000
017_13,1.123978,1.666366,201.959996
017_14,-1.271348,1.411975,312.119994
017_15,0.055490,1.589031,270.359995
017_16,-1.351058,0.981601,167.039995
018_0,0.000000,0.000000,0.000000
018_1,-0.441474,0.234736,25.919999
018_2,-0.325908,0.806650,306.000009
018_3,0.671040,0.356798,56.160001
018_4,-0.665140,-0.141380,240.840011
018_5,0.568278,-0.548780,357.479990
018_6,0.499743,1.024625,271.440003
018_7,1.244956,-0.661955,106.919997
018_8,-0.777278,1.152362,296.280005
018_9,1.118234,0.407004,165.959998
018_10,0.225582,-0.694271,103.320000
018_11,1.342912,0.597903,341.280005
018_12,0.411267,1.649503,129.600005
018_13,1.356687,-0.094869,205.559993
018_14,0.885000,1.532865,264.960001
018_15,-1.087119,-0.484017,228.240001
018_16,-1.077984,0.479949,181.799998
018_17,-1.107202,1.641494,270.719991
019_0,0.000000,0.000000,0.000000
019_1,-0.441474,0.234736,25.919999
019_2,-0.325908,0.806650,306.000009
019_3,0.671040,0.356798,56.160001
019_4,-0.665140,-0.141380,240.840011
019_5,0.568278,-0.548780,357.479990
019_6,0.499743,1.024625,271.440003
019_7,1.244956,-0.661955,106.919997
019_8,-0.777278,1.152362,296.280005
