config,score,sum_score
1,0.661250,0.661250
2,0.501974,1.163224
3,0.567741,1.730965
4,0.535452,2.266417
5,0.599509,2.865926
6,0.615104,3.481030
7,0.616056,4.097086
8,0.591865,4.688951
9,0.622422,5.311373
10,0.630844,5.942217
11,0.625772,6.567989
12,0.613151,7.181140
13,0.591668,7.772808
14,0.588440,8.361248
15,0.606924,8.968172
16,0.582736,9.550908
17,0.574809,10.125717
18,0.571109,10.696826
19,0.589205,11.286031
20,0.602910,11.888941
21,0.601720,12.490661
22,0.591963,13.082624
23,0.602856,13.685480
24,0.589949,14.275429
25,0.582535,14.857963
26,0.590768,15.448731
27,0.583652,16.032383
28,0.576819,16.609201
29,0.575995,17.185197
30,0.546188,17.731384
31,0.570304,18.301688
32,0.577107,18.878796
33,0.575674,19.454469
34,0.562364,20.016833
35,0.581206,20.598039
36,0.561039,21.159078
37,0.571051,21.730130
38,0.566732,22.296862
39,0.565733,22.862595
40,0.565822,23.428417
41,0.571967,24.000384
42,0.573145,24.573529
43,0.562425,25.135954
44,0.557685,25.693639
45,0.570406,26.264045
46,0.564705,26.828750
47,0.571648,27.400398
48,0.570668,27.971066
49,0.572345,28.543411
50,0.565726,29.109137
51,0.559377,29.668514
52,0.556450,30.224964
53,0.555883,30.780847
54,0.546398,31.327245
55,0.544845,31.872091
56,0.551957,32.424048
57,0.550715,32.974763
58,0.560104,33.534867
59,0.557292,34.092159
60,0.557654,34.649813
61,0.557013,35.206826
62,0.551642,35.758468
63,0.561638,36.320106
64,0.541983,36.862089
65,0.549379,37.411467
66,0.544551,37.956018
67,0.550970,38.506988
68,0.541445,39.048433
69,0.546511,39.594944
70,0.554137,40.149080
71,0.553719,40.702800
72,0.548214,41.251014
73,0.555142,41.806155
74,0.561343,42.367499
75,0.540612,42.908111
76,0.547481,43.455592
77,0.547973,44.003564
78,0.552163,44.555727
79,0.543893,45.099620
80,0.549585,45.649206
81,0.541861,46.191066
82,0.544975,46.736041
83,0.546969,47.283010
84,0.545572,47.828582
85,0.541425,48.370007
86,0.558246,48.928253
87,0.550475,49.478727
88,0.543705,50.022433
89,0.552484,50.574917
90,0.548247,51.123163
91,0.549795,51.672959
92,0.554884,52.227842
93,0.547931,52.775773
94,0.543547,53.319320
95,0.545868,53.865188
96,0.544222,54.409410
97,0.538621,54.948031
98,0.528960,55.476990
99,0.539641,56.016632
100,0.541538,56.558170
