tree_x,tree_y,tree_angle
0,0,241.658
0.536231,0.449951,193.069
-0.120961,0.485148,300.507
0.842649,0.707066,315.104
-0.114981,1.09397,269.993
0.894709,1.32646,81.1045
1.05739,0.303201,221.99
1.46167,0.650779,355.767
0.0628191,1.7989,131.947
-0.441474,-0.234736,17.5066
0.618034,1.90211,254.662
1.539,1.70923,333.585
-0.229963,2.18795,71.0416
-0.80036,1.02441,340.055
1.09593,2.24699,313.916
1.8,0,352.001
-0.824135,2.0398,165.302
0.0837588,2.39854,271.839
-1.14783,0.610313,277.461
-1.12763,-0.410424,328.953
1.55303,-0.691452,311.832
0.104189,-0.590885,100.34
0.919253,-0.771345,354.732
-1.50101,-0.798102,256.402
-1.29289,1.65482,130.283
-1.3,2.25167,123.253
-1.08636,2.68883,90.6371
-1.29683,0.0906834,67.2385
-1.87939,-0.68404,5.90561
-0.29268,2.78466,82.1952
2.01309,2.98454,192.206
0.50358,2.85594,289.488
1.95051,1.21881,194.896
-1.50101,0.798102,117.522
-2.15482,2.75804,307.11
0.615112,-0.911941,114.75
-2.22995,2.15344,295.762
-2.10344,1.52824,152.157
-2.2944,0.16044,177.201
-0.412067,-1.0199,136.66
-2.34923,-0.85505,173.672
1.91511,-1.60697,3.36397
1.22567,-1.02846,191.62
-1.16976,-1.49722,71.8563
2.2109,-0.633966,192.887
0.277837,-1.57569,98.327
2.29813,1.92836,192.386
-1.72642,-1.66718,130.073
-0.21951,-2.0885,45.7313
0.745231,-1.52795,200.572
1.80665,-2.00649,112.749
2.22153,-1.86408,253.025
2.77275,0.389685,45.4406
-0.824135,-2.0398,87.0418
2.67372,-0.375767,331.048
2.47578,2.74964,281.72
0.416756,-2.36354,98.1554
-1.90855,-2.44283,80.9677
3.10605,1.3829,116.477
2.78766,-0.799348,180.806
2.88336,1.80173,313.975
-2.52421,3.23084,166.594
0.111678,3.19805,74.7988
2.20813,-2.45238,110.519
3.06418,-2.57115,58.6786
3.07604,0.88204,212.222
-2.58885,1.88091,178.988
1.57814,3.23566,77.4901
-2.641,0.561362,10.7023
-1.65,-2.85788,324.409
-2.58885,-1.88091,145.123
3.13778,-1.9607,337.713
3.01109,3.34415,221.271
-2.79318,-0.195318,176.285
-0.653189,-2.6198,114.934
0.896149,-2.75806,300.016
-0.822534,3.29901,70.9798
-2.80543,-2.70917,253.877
-0.303133,-2.88411,253.548
-2.91246,2.11603,358.956
-2.73714,-1.45536,56.9888
-3.09032,1.64315,154.845
-3.1651,3.0565,341.76
2.29269,3.39905,304.039
-3.26691,-1.73704,169.689
2.60961,-2.89826,125.171
-2,3.4641,79.1846
0.642498,3.64379,82.8684
-3.59123,-0.251123,234.163
-3.09245,0.216245,78.171
-3.09316,-2.98703,127.877
1.5343,-3.14578,295.036
-3.31697,2.40992,61.05
-3.70838,1.97178,190.868
-3.81478,-0.810856,220.197
-0.397208,3.77918,72.4787
1.84116,3.77493,87.1807
-3.80238,-2.76259,337.569
-3.74057,3.61222,167.189
-3.94671,-1.43648,195.071
