num_trees,greedy_score,sa_score,improvement,improvement_pct,time_seconds,max_iterations,actual_ffe
1,1.000000,0.661252,0.338748,33.874816,0,598,2996
2,0.728150,0.538179,0.189971,26.089593,8,597,2997
3,0.751084,0.481109,0.269975,35.944738,17,596,2998
4,0.687319,0.528251,0.159068,23.143215,27,595,2999
5,0.835417,0.542589,0.292828,35.051697,37,594,3000
6,0.745798,0.513890,0.231908,31.095284,48,592,2996
7,0.681815,0.527953,0.153863,22.566601,60,591,2997
8,0.767065,0.567178,0.199887,26.058705,73,590,2998
9,0.686653,0.563228,0.123425,17.974853,87,589,2999
10,0.644299,0.571829,0.072470,11.247943,101,588,3000
11,0.674834,0.592639,0.082195,12.180008,14,586,2996
12,0.718705,0.561429,0.157276,21.883253,16,585,2997
13,0.748524,0.579314,0.169210,22.605770,20,584,2998
14,0.695058,0.591804,0.103254,14.855445,21,583,2999
15,0.648721,0.586409,0.062311,9.605276,24,582,3000
16,0.608176,0.602268,0.005908,0.971395,28,580,2996
17,0.685027,0.593024,0.092003,13.430629,30,579,2997
18,0.694073,0.610617,0.083456,12.024090,34,578,2998
19,0.673534,0.620573,0.052962,7.863254,37,577,2999
20,0.701596,0.591064,0.110532,15.754395,41,576,3000
21,0.668187,0.586797,0.081390,12.180732,43,574,2996
22,0.685708,0.606498,0.079210,11.551580,47,573,2997
23,0.655895,0.614247,0.041648,6.349759,51,572,2998
24,0.673465,0.617140,0.056324,8.363338,55,571,2999
25,0.695783,0.588581,0.107203,15.407495,61,570,3000
26,0.669023,0.591445,0.077578,11.595662,65,568,2996
27,0.680493,0.621250,0.059243,8.705939,69,567,2997
28,0.659556,0.607152,0.052404,7.945331,74,566,2998
29,0.690882,0.598890,0.091992,13.315182,78,565,2999
30,0.667853,0.613850,0.054003,8.086017,87,564,3000
31,0.646309,0.605643,0.040666,6.292044,20,562,2996
32,0.646212,0.615760,0.030453,4.712532,21,561,2997
33,0.643355,0.605431,0.037924,5.894701,22,560,2998
34,0.624432,0.619979,0.004454,0.713252,23,559,2999
35,0.683637,0.617601,0.066036,9.659513,24,558,3000
36,0.664647,0.606604,0.058043,8.732841,25,556,2996
37,0.658419,0.614396,0.044024,6.686269,26,555,2997
38,0.641093,0.607245,0.033848,5.279683,27,554,2998
39,0.624654,0.619129,0.005525,0.884523,28,553,2999
40,0.640030,0.631631,0.008399,1.312348,29,552,3000
41,0.636190,0.625162,0.011028,1.733387,27,550,2996
42,0.635174,0.629362,0.005812,0.915018,28,549,2997
