num_trees,greedy_score,sa_score,improvement,improvement_pct,time_seconds,max_iterations,actual_ffe
1,1.000000,0.661257,0.338743,33.874316,0,598,2996
2,0.728150,0.537830,0.190320,26.137466,23,597,2997
3,0.751084,0.439430,0.311654,41.493929,48,596,2998
4,0.687319,0.499413,0.187906,27.339023,86,595,2999
5,0.835417,0.489920,0.345496,41.356157,114,594,3000
6,0.745798,0.529798,0.216000,28.962318,140,592,2996
7,0.681815,0.511853,0.169963,24.927957,174,591,2997
8,0.767065,0.528183,0.238883,31.142418,218,590,2998
9,0.686653,0.510926,0.175727,25.591870,279,589,2999
10,0.644299,0.537580,0.106719,16.563613,333,588,3000
